accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
OM857292	OM857292.1	OM857292	2020-11-12	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857328	OM857328.1	OM857328	2020-11-12	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857367	OM857367.1	OM857367	2020-11-12	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678457	MW678457.1	HRSVA/TH/B38049/2020	2020-11-13	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678461	MW678461.1	HRSVA/TH/B38045/2020	2020-11-13	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678462	MW678462.1	HRSVA/TH/B38052/2020	2020-11-13	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678466	MW678466.1	HRSVA/TH/B38042/2020	2020-11-13	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678467	MW678467.1	HRSVA/TH/B38053/2020	2020-11-13	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678469	MW678469.1	HRSVA/TH/B38047/2020	2020-11-13	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857225	OM857225.1	OM857225	2020-11-13	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857309	OM857309.1	OM857309	2020-11-13	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857315	OM857315.1	OM857315	2020-11-13	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678458	MW678458.1	HRSVA/TH/B38058/2020	2020-11-14	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678541	MW678541.1	HRSVA/TH/B38057/2020	2020-11-14	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857155	OM857155.1	OM857155	2020-11-14	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857217	OM857217.1	OM857217	2020-11-15	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857223	OM857223.1	OM857223	2020-11-15	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857316	OM857316.1	OM857316	2020-11-15	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857322	OM857322.1	OM857322	2020-11-15	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678511	MW678511.1	HRSVA/TH/B38082/2020	2020-11-16	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678536	MW678536.1	HRSVA/TH/B38071/2020	2020-11-16	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678543	MW678543.1	HRSVA/TH/B38076/2020	2020-11-16	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857303	OM857303.1	OM857303	2020-11-16	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857364	OM857364.1	OM857364	2020-11-16	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678452	MW678452.1	HRSVA/TH/B38095/2020	2020-11-17	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678510	MW678510.1	HRSVA/TH/B38088/2020	2020-11-17	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678534	MW678534.1	HRSVA/TH/B38086/2020	2020-11-17	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857168	OM857168.1	OM857168	2020-11-17	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857236	OM857236.1	OM857236	2020-11-17	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857237	OM857237.1	OM857237	2020-11-17	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857268	OM857268.1	OM857268	2020-11-17	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857293	OM857293.1	OM857293	2020-11-17	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857300	OM857300.1	OM857300	2020-11-17	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678447	MW678447.1	HRSVA/TH/B38102/2020	2020-11-18	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678453	MW678453.1	HRSVA/TH/B38100/2020	2020-11-18	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678459	MW678459.1	HRSVA/TH/B38108/2020	2020-11-18	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678480	MW678480.1	HRSVA/TH/B38109/2020	2020-11-18	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857153	OM857153.1	OM857153	2020-11-18	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857270	OM857270.1	OM857270	2020-11-18	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857311	OM857311.1	OM857311	2020-11-18	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678555	MW678555.1	HRSVA/TH/B38117/2020	2020-11-19	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678559	MW678559.1	HRSVA/TH/B38116/2020	2020-11-19	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678565	MW678565.1	HRSVA/TH/B38115/2020	2020-11-19	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857148	OM857148.1	OM857148	2020-11-19	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857214	OM857214.1	OM857214	2020-11-19	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857271	OM857271.1	OM857271	2020-11-19	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857279	OM857279.1	OM857279	2020-11-19	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857286	OM857286.1	OM857286	2020-11-19	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857150	OM857150.1	OM857150	2020-11-20	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857238	OM857238.1	OM857238	2020-11-20	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857272	OM857272.1	OM857272	2020-11-20	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678523	MW678523.1	HRSVA/TH/B38130/2020	2020-11-21	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678546	MW678546.1	HRSVA/TH/B38137/2020	2020-11-21	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678560	MW678560.1	HRSVA/TH/B38127/2020	2020-11-21	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857165	OM857165.1	OM857165	2020-11-21	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857226	OM857226.1	OM857226	2020-11-21	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678517	MW678517.1	HRSVA/TH/B38140/2020	2020-11-22	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857143	OM857143.1	OM857143	2020-11-22	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857166	OM857166.1	OM857166	2020-11-22	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857227	OM857227.1	OM857227	2020-11-22	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857285	OM857285.1	OM857285	2020-11-22	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857365	OM857365.1	OM857365	2020-11-22	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678530	MW678530.1	HRSVA/TH/B38152/2020	2020-11-23	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857213	OM857213.1	OM857213	2020-11-23	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857242	OM857242.1	OM857242	2020-11-23	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857248	OM857248.1	OM857248	2020-11-23	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857249	OM857249.1	OM857249	2020-11-23	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857273	OM857273.1	OM857273	2020-11-23	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857280	OM857280.1	OM857280	2020-11-23	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857313	OM857313.1	OM857313	2020-11-23	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678527	MW678527.1	HRSVA/TH/B38169/2020	2020-11-24	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857261	OM857261.1	OM857261	2020-11-24	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857304	OM857304.1	OM857304	2020-11-24	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857317	OM857317.1	OM857317	2020-11-24	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857348	OM857348.1	OM857348	2020-11-24	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857358	OM857358.1	OM857358	2020-11-24	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678521	MW678521.1	HRSVA/TH/B38177/2020	2020-11-25	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857231	OM857231.1	OM857231	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857243	OM857243.1	OM857243	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857247	OM857247.1	OM857247	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857250	OM857250.1	OM857250	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857278	OM857278.1	OM857278	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857298	OM857298.1	OM857298	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857305	OM857305.1	OM857305	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857310	OM857310.1	OM857310	2020-11-25	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678528	MW678528.1	HRSVA/TH/B38183/2020	2020-11-26	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678531	MW678531.1	HRSVA/TH/B38179/2020	2020-11-26	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678556	MW678556.1	HRSVA/TH/B38185/2020	2020-11-26	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678558	MW678558.1	HRSVA/TH/B38186/2020	2020-11-26	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
MW678566	MW678566.1	HRSVA/TH/B38188/2020	2020-11-26	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857144	OM857144.1	OM857144	2020-11-26	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857281	OM857281.1	OM857281	2020-11-26	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857291	OM857291.1	OM857291	2020-11-26	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857321	OM857321.1	OM857321	2020-11-26	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857334	OM857334.1	OM857334	2020-11-26	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678518	MW678518.1	HRSVA/TH/B38192/2020	2020-11-27	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857145	OM857145.1	OM857145	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857158	OM857158.1	OM857158	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857169	OM857169.1	OM857169	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857199	OM857199.1	OM857199	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857215	OM857215.1	OM857215	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857228	OM857228.1	OM857228	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857239	OM857239.1	OM857239	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857251	OM857251.1	OM857251	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857312	OM857312.1	OM857312	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857320	OM857320.1	OM857320	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857323	OM857323.1	OM857323	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857324	OM857324.1	OM857324	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857325	OM857325.1	OM857325	2020-11-27	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
MW678538	MW678538.1	HRSVA/TH/B38204/2020	2020-11-28	Asia	Thailand			Homo sapiens	2022-03-24		Thongpan et al		Thongpan,I.	
OM857170	OM857170.1	OM857170	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857200	OM857200.1	OM857200	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857229	OM857229.1	OM857229	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857240	OM857240.1	OM857240	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857269	OM857269.1	OM857269	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857283	OM857283.1	OM857283	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857284	OM857284.1	OM857284	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857307	OM857307.1	OM857307	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857361	OM857361.1	OM857361	2020-11-28	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857253	OM857253.1	OM857253	2020-11-29	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857260	OM857260.1	OM857260	2020-11-29	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857277	OM857277.1	OM857277	2020-11-29	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857287	OM857287.1	OM857287	2020-11-29	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857314	OM857314.1	OM857314	2020-11-29	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857163	OM857163.1	OM857163	2020-11-30	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
OM857206	OM857206.1	OM857206	2020-11-30	Oceania	Australia			Homo sapiens	2022-04-06		Eden et al		Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.	
